0,94
1,88
2,82
3,77
4,72
5,67
6,63
7,59
8,55
9,51
10,48
11,45
12,42
13,39
14,37
15,35
16,32
17,30
18,28
19,27
20,25
21,23
22,22
23,20
24,19
25,18
26,17
27,16
28,15
29,14
30,13
31,12
32,11
33,11
34,10
35,9
36,9
37,8
38,8
39,7
40,7
41,7
42,6
43,6
44,5
45,5
46,5
47,5
48,4
49,4
50,4
51,4
52,3
53,3
54,3
55,3
56,3
57,3
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
